source,title,company,posted_at,link,seniority,years_min,years_max,job_type,location,salary_min,salary_max,salary_currency,score
WeWorkRemotely,abra: Data engineer,Center District,2025-08-14T08:36:32Z,https://weworkremotely.com/remote-jobs/abra-data-engineer,nan,5.0,nan,nan,nan,nan,nan,nan,6
Remotive,Senior Data Engineer,Virta Health,2025-08-01T06:51:20Z,https://remotive.com/remote-jobs/software-dev/senior-data-engineer-2042377,senior,5.0,8.0,full_time,USA,nan,nan,nan,5
Remotive,Data Engineer,TransfrVR,2025-07-22T18:51:35Z,https://remotive.com/remote-jobs/software-dev/data-engineer-2037324,lead,4.0,nan,full_time,USA,nan,nan,nan,5
jobicy.com,Senior Data Engineer (C# experience),,2025-08-17T03:53:34Z,https://jobicy.com/jobs/128906-senior-data-engineer-c-experience,senior,nan,nan,nan,nan,nan,nan,nan,4
Remotive,Senior Data Engineer,SkySlope,2025-08-16T14:50:08Z,https://remotive.com/remote-jobs/software-dev/senior-data-engineer-2048546,senior,5.0,nan,full_time,USA,nan,nan,nan,4
Remotive,Data Engineer,saas.group,2025-08-13T00:50:29Z,https://remotive.com/remote-jobs/software-dev/data-engineer-2046737,nan,5.0,nan,contract,Germany,nan,nan,nan,4
greenhouse:databricks,Sr. Big Data Engineer,databricks,2025-08-12T02:37:57Z,https://databricks.com/company/careers/open-positions/job?gh_jid=7968899002,senior,10.0,nan,nan,{'name': 'Remote - India'},nan,nan,nan,4
Remotive,Staff Data Engineer,Heidihealth.com.au,2025-08-07T00:51:04Z,https://remotive.com/remote-jobs/software-dev/staff-data-engineer-2044371,staff,4.0,nan,full_time,Australia,nan,nan,nan,4
Remotive,Data Engineer,Revive Health,2025-08-02T06:50:56Z,https://remotive.com/remote-jobs/software-dev/data-engineer-2042778,nan,3.0,nan,full_time,USA,nan,nan,nan,4
Remotive,Data Engineer,OneSix - External,2025-07-29T00:51:10Z,https://remotive.com/remote-jobs/software-dev/data-engineer-2039912,nan,nan,nan,full_time,LATAM,nan,nan,nan,4
Remotive,Middle Data Engineer,Sigma Software,2025-07-26T12:50:50Z,https://remotive.com/remote-jobs/software-dev/middle-data-engineer-2038818,nan,nan,nan,full_time,Poland,nan,nan,nan,4
greenhouse:stripe,"Data Engineer, People Solutions",stripe,2025-08-16T12:41:41Z,https://stripe.com/jobs/search?gh_jid=7172093,nan,3.0,10.0,nan,{'name': 'Dublin'},nan,nan,nan,3
Remotive,Data Engineer,Kastech Software Solutions Group.,2025-07-28T18:51:13Z,https://remotive.com/remote-jobs/software-dev/data-engineer-2040657,mid,nan,nan,contract,Mexico,nan,nan,nan,3
Jobicy,"Associate Director, Bioinformatics Data Engineering",Genmab,2025-08-15T04:41:42Z,https://jobicy.com/jobs/128772-associate-director-bioinformatics-data-engineering,junior,12.0,nan,Full-Time,Netherlands,nan,nan,,2
Remotive,Customer Solutions Architect,Atlan,2025-08-11T14:50:19Z,https://remotive.com/remote-jobs/customer-support/customer-solutions-architect-2045599,intern,5.0,nan,full_time,India,nan,nan,nan,1
Remotive,Sr. Data/Backend Engineer,Knotch,2025-07-31T12:50:52Z,https://remotive.com/remote-jobs/data/sr-data-backend-engineer-2041995,senior,5.0,nan,full_time,Canada,nan,nan,nan,1
Remotive,Solution Architect,EDB,2025-07-08T18:50:12Z,https://remotive.com/remote-jobs/software-dev/solution-architect-2030874,lead,10.0,nan,full_time,"Europe, UK",nan,nan,nan,1
