source,title,company,posted_at,link,seniority,years_min,years_max,job_type,location,salary_min,salary_max,salary_currency
WeWorkRemotely,SolutionHealth: Solutionhealth - Epic Applications Analyst (1-4): CADENCE/PRELUDE - Rev Cycle Application and Epic Operations - Full Time - Remote,Anywhere in the World,2025-08-19T00:36:43Z,https://weworkremotely.com/remote-jobs/solutionhealth-solutionhealth-epic-applications-analyst-1-4-cadence-prelude-rev-cycle-application-and-epic-operations-6,junior,,,full-time,,,,
greenhouse:stripe,"Corporate Engineering Manager, Automations & Integrations",stripe,2025-08-19T00:08:02Z,https://stripe.com/jobs/search?gh_jid=7155895,lead,3,,,{'name': 'Remote in the US'},,,
greenhouse:databricks,"Named Hunter Account Executive, Gaming",databricks,2025-08-19T00:05:09Z,https://databricks.com/company/careers/open-positions/job?gh_jid=8023805002,lead,7,,,{'name': 'United States'},,,
greenhouse:databricks,"Director, Enterprise",databricks,2025-08-18T22:52:38Z,https://databricks.com/company/careers/open-positions/job?gh_jid=8116464002,lead,5,,,"{'name': 'Sydney, Australia'}",,,
greenhouse:databricks,APJ Financial Services GTM Leader,databricks,2025-08-18T22:39:16Z,https://databricks.com/company/careers/open-positions/job?gh_jid=8111560002,senior,10,,,{'name': 'Singapore'},,,
greenhouse:automatticcareers,Spaces Manager ,automatticcareers,2025-08-18T22:24:01Z,https://job-boards.greenhouse.io/automatticcareers/jobs/7128828,lead,,,,{'name': 'New York City'},,,
greenhouse:stripe,"Machine Learning Engineer, Supportability",stripe,2025-08-18T22:18:43Z,https://stripe.com/jobs/search?gh_jid=7176812,,2,,,{'name': 'San Francisco or Seattle'},,,
greenhouse:databricks,Data Scientist - New Grad (2026 Start),databricks,2025-08-18T22:14:03Z,https://databricks.com/company/careers/open-positions/job?gh_jid=6866554002,,,,,"{'name': 'Mountain View, California; San Francisco, California'}",,,
greenhouse:databricks,Data Science Intern (2026 Start),databricks,2025-08-18T22:13:13Z,https://databricks.com/company/careers/open-positions/job?gh_jid=6866538002,intern,,,internship,"{'name': 'Mountain View, California; San Francisco, California'}",,,
greenhouse:databricks,"Software Engineer - New Grad, Distributed Data Systems (2026 Start)",databricks,2025-08-18T22:10:23Z,https://databricks.com/company/careers/open-positions/job?gh_jid=6865704002,,,,,"{'name': 'Bellevue, Washington; Mountain View, California'}",,,
greenhouse:databricks,Software Engineer - New Grad (2026 Start),databricks,2025-08-18T22:10:01Z,https://databricks.com/company/careers/open-positions/job?gh_jid=6865698002,,,,,"{'name': 'Bellevue, Washington; Mountain View, California; San Francisco, California'}",,,
greenhouse:databricks,Sr. Business Intelligence,databricks,2025-08-18T22:07:27Z,https://databricks.com/company/careers/open-positions/job?gh_jid=8111489002,senior,5,,,{'name': 'Costa Rica'},,,
